classes,class_desc
BluetoothManager,"High level manager used to obtain an instance of an BluetoothAdapter
 and to conduct overall Bluetooth Management."
BluetoothProfile,Public APIs for the Bluetooth Profiles.
BluetoothProfile.ServiceListener,"An interface for notifying BluetoothProfile IPC clients when they have
 been connected or disconnected to the service."
BluetoothServerSocket,A listening Bluetooth socket.
BluetoothSocket,A connected or connecting Bluetooth socket.
BlurMaskFilter,"This takes a mask, and blurs its edge by the specified radius."
BlurMaskFilter.Blur,
Boolean,"The Boolean class wraps a value of the primitive type
 boolean in an object."
BooleanSupplier,Represents a supplier of boolean-valued results.
BootstrapMethodError,"Thrown to indicate that an invokedynamic instruction has
 failed to find its bootstrap method,
 or the bootstrap method has failed to provide a
 call site with a target
 of the correct method type."
BoringLayout,"A BoringLayout is a very simple Layout implementation for text that
 fits on a single line and is all left-to-right characters."
BoringLayout.Metrics,
BounceInterpolator,An interpolator where the change bounces at the end.
BreakIterator,"[icu enhancement] ICU's replacement for BreakIterator. Methods, fields, and other functionality specific to ICU are labeled '[icu]'."
BreakIterator,"The BreakIterator class implements methods for finding
 the location of boundaries in text."
BroadcastReceiver,"Base class for code that receives and handles broadcast intents sent by
 Context.sendBroadcast(Intent)."
BroadcastReceiver.PendingResult,State for a result that is pending for a broadcast receiver.
BrokenBarrierException,"Exception thrown when a thread tries to wait upon a barrier that is
 in a broken state, or which enters the broken state while the thread
 is waiting."
Browser,
BrowserCompatHostnameVerifier,"This class was deprecated
      in API level 22.
    Please use URL.openConnection() instead.
     Please visit this webpage
     for further details."
BuddhistCalendar,"BuddhistCalendar is a subclass of GregorianCalendar
 that numbers years since the birth of the Buddha."
Buffer,A container for data of a specific primitive type.
BufferedInputStream,"A BufferedInputStream adds
 functionality to another input stream-namely,
 the ability to buffer the input and to
 support the mark and reset
 methods."
BufferedOutputStream,The class implements a buffered output stream.
BufferedReader,"Reads text from a character-input stream, buffering characters so as to
 provide for the efficient reading of characters, arrays, and lines."
BufferedWriter,"Writes text to a character-output stream, buffering characters so as to
 provide for the efficient writing of single characters, arrays, and strings."
BufferOverflowException,"Unchecked exception thrown when a relative put operation reaches
 the target buffer's limit."
BufferUnderflowException,"Unchecked exception thrown when a relative get operation reaches
 the source buffer's limit."
Build,"Information about the current build, extracted from system properties."
Build.VERSION,Various version strings.
Build.VERSION_CODES,Enumeration of the currently known SDK version codes.
BulletSpan,A span which styles paragraphs as bullet points (respecting layout direction).
Bundle,A mapping from String keys to various Parcelable values.
Button,A user interface element the user can tap or click to perform an action.
Byte,"The Byte class wraps a value of primitive type byte
 in an object."
Byte2,Class for exposing the native RenderScript byte2 type back to the Android system.
Byte3,Class for exposing the native RenderScript byte3 type back to the Android system.
Byte4,Class for exposing the native RenderScript byte4 type back to the Android system.
ByteArrayInputStream,"A ByteArrayInputStream contains
 an internal buffer that contains bytes that
 may be read from the stream."
ByteArrayOutputStream,"This class implements an output stream in which the data is
 written into a byte array."
ByteBuffer,A byte buffer.
ByteChannel,A channel that can read and write bytes.
ByteOrder,A typesafe enumeration for byte orders.
CacheRequest,"Represents channels for storing resources in the
 ResponseCache."
CacheResponse,"Represent channels for retrieving resources from the
 ResponseCache."
Calendar,"[icu enhancement] ICU's replacement for Calendar. Methods, fields, and other functionality specific to ICU are labeled '[icu]'."
Calendar,"The Calendar class is an abstract class that provides methods
 for converting between a specific instant in time and a set of calendar fields such as YEAR, MONTH,
 DAY_OF_MONTH, HOUR, and so on, and for
 manipulating the calendar fields, such as getting the date of the next
 week."
Calendar.Builder,"Calendar.Builder is used for creating a Calendar from
 various date-time parameters."
Calendar.WeekData,"Simple, immutable struct-like class for access to the CLDR weekend data."
CalendarContract,The contract between the calendar provider and applications.
CalendarContract.Attendees,Fields and helpers for interacting with Attendees.
CalendarContract.AttendeesColumns,Columns from the Attendees table that other tables join into themselves.
CalendarContract.CalendarAlerts,Fields and helpers for accessing calendar alerts information.
CalendarContract.CalendarAlertsColumns,
CalendarContract.CalendarCache,"CalendarCache stores some settings for calendar including the current
 time zone for the instances."
CalendarContract.CalendarCacheColumns,
CalendarContract.CalendarColumns,Columns specific to the Calendars Uri that other Uris can query.
CalendarContract.CalendarEntity,Class that represents a Calendar Entity.
CalendarContract.Calendars,"Constants and helpers for the Calendars table, which contains details for
 individual calendars."
CalendarContract.CalendarSyncColumns,Generic columns for use by sync adapters.
CalendarContract.Colors,Fields for accessing colors available for a given account.
CalendarContract.ColorsColumns,
CalendarContract.EventDays,Fields and helpers for querying for a list of days that contain events.
CalendarContract.EventDaysColumns,
CalendarContract.Events,"Constants and helpers for the Events table, which contains details for
 individual events."
CalendarContract.EventsColumns,Columns from the Events table that other tables join into themselves.
CalendarContract.EventsEntity,Class that represents an Event Entity.
CalendarContract.ExtendedProperties,Fields for accessing the Extended Properties.
CalendarContract.ExtendedPropertiesColumns,
CalendarContract.Instances,Fields and helpers for interacting with Instances.
CalendarContract.Reminders,Fields and helpers for accessing reminders for an event.
CalendarContract.RemindersColumns,
CalendarContract.SyncColumns,Columns for Sync information used by Calendars and Events tables.
CalendarContract.SyncState,A table provided for sync adapters to use for storing private sync state data.
CalendarView,This class is a calendar widget for displaying and selecting dates.
CalendarView.OnDateChangeListener,The callback used to indicate the user changes the date.
Call,Represents an ongoing phone call that the in-call app should present to the user.
Call.Callback,Defines callbacks which inform the InCallService of changes to a Call.
Call.Details,
Call.RttCall,"A class that holds the state that describes the state of the RTT channel to the remote
 party, if it is active."
Callable<V>,A task that returns a result and may throw an exception.
CallableStatement,The interface used to execute SQL stored procedures.
CallAudioState,"Encapsulates the telecom audio state, including the current audio routing, supported audio
  routing and mute."
Callback,"Implementations of this interface are passed to a
 CallbackHandler, allowing underlying security services
 the ability to interact with a calling application to retrieve specific
 authentication data such as usernames and passwords, or to display
 certain information, such as error and warning messages."
CallbackHandler,"An application implements a CallbackHandler and passes
 it to underlying security services so that they may interact with
 the application to retrieve specific authentication data,
 such as usernames and passwords, or to display certain information,
 such as error and warning messages."
CallLog,The CallLog provider contains information about placed and received calls.
CallLog.Calls,Contains the recent calls.
CallScreeningService,"This service can be implemented by the default dialer (see
 TelecomManager.getDefaultDialerPackage()) to allow or disallow incoming calls before
 they are shown to a user."
CallScreeningService.CallResponse,
CallScreeningService.CallResponse.Builder,
CallSite,"A CallSite is a holder for a variable MethodHandle,
 which is called its target."
CamcorderProfile,"Retrieves the
 predefined camcorder profile settings for camcorder applications."
Camera,"A camera instance can be used to compute 3D transformations and
 generate a matrix that can be applied, for instance, on a
 Canvas."
Camera,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.Area,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.AutoFocusCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.AutoFocusMoveCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.CameraInfo,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.ErrorCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.Face,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.FaceDetectionListener,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.OnZoomChangeListener,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.Parameters,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.PictureCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.PreviewCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.ShutterCallback,"This interface was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
Camera.Size,"This class was deprecated
      in API level 21.
    We recommend using the new android.hardware.camera2 API for new
             applications."
CameraAccessException,"CameraAccessException is thrown if a camera device could not
 be queried or opened by the CameraManager, or if the connection to an
 opened CameraDevice is no longer valid."
CameraCaptureSession,"A configured capture session for a CameraDevice, used for capturing images from the
 camera or reprocessing images captured from the camera in the same session previously."
CameraCaptureSession.CaptureCallback,"A callback object for tracking the progress of a CaptureRequest submitted to the
 camera device."
CameraCaptureSession.StateCallback,A callback object for receiving updates about the state of a camera capture session.
CameraCharacteristics,"The properties describing a
 CameraDevice."
CameraCharacteristics.Key<T>,"A Key is used to do camera characteristics field lookups with
 CameraCharacteristics.get(CameraCharacteristics.Key)."
CameraConstrainedHighSpeedCaptureSession,"A constrained high speed capture session for a CameraDevice, used for capturing high
 speed images from the CameraDevice for high speed video recording use case."
CameraDevice,"The CameraDevice class is a representation of a single camera connected to an
 Android device, allowing for fine-grain control of image capture and
 post-processing at high frame rates."
CameraDevice.StateCallback,A callback objects for receiving updates about the state of a camera device.
CameraManager,"A system service manager for detecting, characterizing, and connecting to
 CameraDevices."
CameraManager.AvailabilityCallback,A callback for camera devices becoming available or unavailable to open.
CameraManager.TorchCallback,"A callback for camera flash torch modes becoming unavailable, disabled, or enabled."
CameraMetadata<TKey>,The base class for camera controls and information.
CameraPrewarmService,Extend this class to implement a camera prewarm service.
CameraProfile,"The CameraProfile class is used to retrieve the pre-defined still image
 capture (jpeg) quality levels (0-100) used for low, medium, and high
 quality settings in the Camera application."
CancellationException,"Exception indicating that the result of a value-producing task,
 such as a FutureTask, cannot be retrieved because the task
 was cancelled."
CancellationSignal,Provides the ability to cancel an operation in progress.
CancellationSignal.OnCancelListener,Listens for cancellation.
CancelledKeyException,"Unchecked exception thrown when an attempt is made to use
 a selection key that is no longer valid."
Canvas,"The Canvas class holds the ""draw"" calls."
Canvas.EdgeType,Constant values used as parameters to quickReject() calls.
Canvas.VertexMode,
CaptioningManager,"Contains methods for accessing and monitoring preferred video captioning state and visual
 properties."
CaptioningManager.CaptioningChangeListener,"Listener for changes in captioning properties, including enabled state
 and user style preferences."
CaptioningManager.CaptionStyle,"Specifies visual properties for video captions, including foreground and
 background colors, edge properties, and typeface."
CaptivePortal,"A class allowing apps handling the ConnectivityManager.ACTION_CAPTIVE_PORTAL_SIGN_IN
 activity to indicate to the system different outcomes of captive portal sign in."
CaptureFailure,A report of failed capture for a single image capture from the image sensor.
CaptureRequest,"An immutable package of settings and outputs needed to capture a single
 image from the camera device."
CaptureRequest.Builder,A builder for capture requests.
CaptureRequest.Key<T>,"A Key is used to do capture request field lookups with
 CaptureResult.get(CaptureResult.Key) or to set fields with
 CaptureRequest.Builder.set(Key, Object)."
CaptureResult,The subset of the results of a single image capture from the image sensor.
CaptureResult.Key<T>,"A Key is used to do capture result field lookups with
 CaptureResult.get(CaptureResult.Key)."
CardEmulation,"This class can be used to query the state of
 NFC card emulation services."
CarrierConfigManager,Provides access to telephony configuration values that are carrier-specific.
CarrierIdentifier,"Used to pass info to CarrierConfigService implementations so they can decide what values to
 return."
CarrierMessagingService,"A service that receives calls from the system when new SMS and MMS are
 sent or received."
CarrierMessagingService.ResultCallback<T>,A callback interface used to provide results asynchronously.
CarrierMessagingService.SendMmsResult,The result of sending an MMS.
CarrierMessagingService.SendMultipartSmsResult,The result of sending a multipart SMS.
CarrierMessagingService.SendSmsResult,The result of sending an SMS.
CarrierService,A service that exposes carrier-specific functionality to the system.
CDATASection,"CDATA sections are used to escape blocks of text containing characters that
 would otherwise be regarded as markup."
CdmaCellLocation,Represents the cell location on a CDMA phone.
CellIdentity,CellIdentity represents the identity of a unique cell.
CellIdentityCdma,CellIdentity is to represent a unique CDMA cell
CellIdentityGsm,CellIdentity to represent a unique GSM cell
CellIdentityLte,CellIdentity is to represent a unique LTE cell
CellIdentityTdscdma,CellIdentity is to represent a unique TD-SCDMA cell
CellIdentityWcdma,CellIdentity to represent a unique UMTS cell
CellInfo,Immutable cell information from a point in time.
CellInfoCdma,Immutable cell information from a point in time.
CellInfoGsm,Immutable cell information from a point in time.
CellInfoLte,Immutable cell information from a point in time.
CellInfoWcdma,Immutable cell information from a point in time.
CellLocation,Abstract class that represents the location of the device.
CellSignalStrength,Abstract base class for cell phone signal strength related information.
CellSignalStrengthCdma,Signal strength related information.
CellSignalStrengthGsm,GSM signal strength related information.
CellSignalStrengthLte,LTE signal strength related information.
CellSignalStrengthWcdma,Wcdma signal strength related information.
Certificate,"This interface was deprecated
      in API level 1.
    A new certificate handling package is created in the Java platform.
             This Certificate interface is entirely deprecated and
             is here to allow for a smooth transition to the new
             package."
Certificate,Abstract class for managing a variety of identity certificates.
Certificate,Abstract class for managing a variety of identity certificates.
Certificate.CertificateRep,Alternate Certificate class for serialization.
CertificateEncodingException,Certificate Encoding Exception.
CertificateEncodingException,Certificate Encoding Exception.
CertificateException,This exception indicates one of a variety of certificate problems.
CertificateException,This exception indicates one of a variety of certificate problems.
CertificateExpiredException,Certificate Expired Exception.
CertificateExpiredException,Certificate Expired Exception.
CertificateFactory,"This class defines the functionality of a certificate factory, which is
 used to generate certificate, certification path (CertPath)
 and certificate revocation list (CRL) objects from their encodings."
CertificateFactorySpi,"This class defines the Service Provider Interface (SPI)
 for the CertificateFactory class."
CertificateNotYetValidException,Certificate is not yet valid exception.
CertificateNotYetValidException,Certificate is not yet valid exception.
CertificateParsingException,Certificate Parsing Exception.
CertificateParsingException,Certificate Parsing Exception.
CertificateRevokedException,An exception that indicates an X.509 certificate is revoked.
CertPath,An immutable sequence of certificates (a certification path).
CertPath.CertPathRep,Alternate CertPath class for serialization.
CertPathBuilder,A class for building certification paths (also known as certificate chains).
CertPathBuilderException,"An exception indicating one of a variety of problems encountered when
 building a certification path with a CertPathBuilder."
CertPathBuilderResult,A specification of the result of a certification path builder algorithm.
CertPathBuilderSpi,"The Service Provider Interface (SPI)
 for the CertPathBuilder class."
CertPathChecker,"Performs one or more checks on each Certificate of a
 CertPath."
CertPathParameters,A specification of certification path algorithm parameters.
CertPathTrustManagerParameters,A wrapper for CertPathParameters.
CertPathValidator,"A class for validating certification paths (also known as certificate
 chains)."
CertPathValidatorException,"An exception indicating one of a variety of problems encountered when
 validating a certification path."
CertPathValidatorException.BasicReason,"The BasicReason enumerates the potential reasons that a certification
 path of any type may be invalid."
CertPathValidatorException.Reason,The reason the validation algorithm failed.
CertPathValidatorResult,A specification of the result of a certification path validator algorithm.
CertPathValidatorSpi,"The Service Provider Interface (SPI)
 for the CertPathValidator class."
CertSelector,"A selector that defines a set of criteria for selecting
 Certificates."
CertStore,"A class for retrieving Certificates and CRLs
 from a repository."
CertStoreException,"An exception indicating one of a variety of problems retrieving
 certificates and CRLs from a CertStore."
CertStoreParameters,A specification of CertStore parameters.
CertStoreSpi,"The Service Provider Interface (SPI)
 for the CertStore class."
ChangeBounds,"This transition captures the layout bounds of target views before and after
 the scene change and animates those changes during the transition."
ChangeClipBounds,"ChangeClipBounds captures the View.getClipBounds() before and after the
 scene change and animates those changes during the transition."
ChangedPackages,"Packages that have been changed since the last time they
 were requested."
ChangeImageTransform,"This Transition captures an ImageView's matrix before and after the
 scene change and animates it during the transition."
ChangeScroll,"This transition captures the scroll properties of targets before and after
 the scene change and animates any changes."
ChangeTransform,"This Transition captures scale and rotation for Views before and after the
 scene change and animates those changes during the transition."
Channel,"Instances of this class represent an ISO/IEC 7816-4 channel opened to a
 Secure Element."
Channel,A nexus for I/O operations.
Channels,Utility methods for channels and streams.
Character,"The Character class wraps a value of the primitive
 type char in an object."
Character.Subset,"Instances of this class represent particular subsets of the Unicode
 character set."
Character.UnicodeBlock,"A family of character subsets representing the character blocks in the
 Unicode specification."
Character.UnicodeScript,"A family of character subsets representing the character scripts
 defined in the 
 Unicode Standard Annex #24: Script Names."
CharacterCodingException,"Checked exception thrown when a character encoding
 or decoding error occurs."
CharacterData,"The CharacterData interface extends Node with a set of
 attributes and methods for accessing character data in the DOM."
Characteristics,The characteristics of the Wi-Fi Aware implementation.
CharacterIterator,This interface defines a protocol for bidirectional iteration over text.
CharacterPickerDialog,Dialog for choosing accented characters related to a base character.
CharacterStyle,"The classes that affect character-level text formatting extend this
 class."
CharArrayBuffer,"This is used for Cursor.copyStringToBuffer(int, CharArrayBuffer)"
CharArrayReader,"This class implements a character buffer that can be used as a
 character-input stream."
CharArrayWriter,This class implements a character buffer that can be used as an Writer.
CharBuffer,A char buffer.
CharConversionException,Base class for character conversion exceptions.
CharSequence,A CharSequence is a readable sequence of char values.
CharSequenceTransformation,"Replaces a TextView child of a CustomDescription with the contents of one or
 more regular expressions (regexs)."
CharSequenceTransformation.Builder,Builder for CharSequenceTransformation objects.
Charset,"A named mapping between sequences of sixteen-bit Unicode code units and sequences of
 bytes."
CharsetDecoder,"An engine that can transform a sequence of bytes in a specific charset into a sequence of
 sixteen-bit Unicode characters."
CharsetEncoder,"An engine that can transform a sequence of sixteen-bit Unicode characters into a sequence of
 bytes in a specific charset."
CharsetProvider,Charset service-provider class.
Checkable,Defines an extension for views that make them checkable.
CheckBox,"A checkbox is a specific type of two-states button that can be either
 checked or unchecked."
CheckBoxPreference,"A Preference that provides checkbox widget
 functionality."
CheckedInputStream,An input stream that also maintains a checksum of the data being read.
CheckedOutputStream,"An output stream that also maintains a checksum of the data being
 written."
CheckedTextView,"An extension to TextView that supports the Checkable
 interface and displays."
Checksum,An interface representing a data checksum.
ChineseCalendar,"ChineseCalendar is a concrete subclass of Calendar
 that implements a traditional Chinese calendar."
ChoiceFormat,A ChoiceFormat allows you to attach a format to a range of numbers.
ChooserTarget,"A ChooserTarget represents a deep-link into an application as returned by a
 ChooserTargetService."
ChooserTargetService,"A service that receives calls from the system when the user is asked to choose
 a target for an intent explicitly by another app."
Choreographer,"Coordinates the timing of animations, input and drawing."
Choreographer.FrameCallback,"Implement this interface to receive a callback when a new display frame is
 being rendered."
ChronoField,A standard set of fields.
ChronoLocalDate,"A date without time-of-day or time-zone in an arbitrary chronology, intended
 for advanced globalization use cases."
ChronoLocalDateTime<D extends ChronoLocalDate>,"A date-time without a time-zone in an arbitrary chronology, intended
 for advanced globalization use cases."
Chronology,"A calendar system, used to organize and identify dates."
Chronometer,Class that implements a simple timer.
Chronometer.OnChronometerTickListener,A callback that notifies when the chronometer has incremented on its own.
ChronoPeriod,"A date-based amount of time, such as '3 years, 4 months and 5 days' in an
 arbitrary chronology, intended for advanced globalization use cases."
ChronoUnit,A standard set of date periods units.
ChronoZonedDateTime<D extends ChronoLocalDate>,"A date-time with a time-zone in an arbitrary chronology,
 intended for advanced globalization use cases."
Cipher,"This class provides the functionality of a cryptographic cipher for
 encryption and decryption."
CipherInputStream,"A CipherInputStream is composed of an InputStream and a Cipher so
 that read() methods return data that are read in from the
 underlying InputStream but have been additionally processed by the
 Cipher."
CipherOutputStream,"A CipherOutputStream is composed of an OutputStream and a Cipher so
 that write() methods first process the data before writing them out
 to the underlying OutputStream."
CipherSpi,"This class defines the Service Provider Interface (SPI)
 for the Cipher class."
CircularPropagation,"A propagation that varies with the distance to the epicenter of the Transition
 or center of the scene if no epicenter exists."
Class<T>,"Instances of the class Class represent classes and
 interfaces in a running Java application."
ClassCastException,"Thrown to indicate that the code has attempted to cast an object
 to a subclass of which it is not an instance."
ClassCircularityError,"Thrown when the Java Virtual Machine detects a circularity in the
 superclass hierarchy of a class being loaded."
ClassFormatError,"Thrown when the Java Virtual Machine attempts to read a class
 file and determines that the file is malformed or otherwise cannot
 be interpreted as a class file."
ClassLoader,A class loader is an object that is responsible for loading classes.
ClassNotFoundException,"Thrown when an application tries to load in a class through its
 string name using:
 
 The forName method in class Class."
CleartextNetworkViolation,
ClickableSpan,"If an object of this type is attached to the text of a TextView
 with a movement method of LinkMovementMethod, the affected spans of
 text can be selected."
ClientCertRequest,"ClientCertRequest: The user receives an instance of this class as
 a parameter of WebViewClient.onReceivedClientCertRequest(WebView, ClientCertRequest)."
ClientInfoStatus,"Enumeration for status of the reason that a property could not be set
 via a call to Connection.setClientInfo"
ClipboardManager,"Interface to the clipboard service, for placing and retrieving text in
 the global clipboard."
ClipboardManager,"This class was deprecated
      in API level 11.
    Old text-only interface to the clipboard.  See
 ClipboardManager for the modern API."
ClipboardManager.OnPrimaryClipChangedListener,Defines a listener callback that is invoked when the primary clip on the clipboard changes.
ClipData,Representation of a clipped data on the clipboard.
ClipData.Item,Description of a single item in a ClipData.
ClipDescription,Meta-data describing the contents of a ClipData.
ClipDrawable,"A Drawable that clips another Drawable based on this Drawable's current
 level value."
Clob,"The mapping in the JavaTM programming language
 for the SQL CLOB type."
Clock,"A clock providing access to the current instant, date and time using a time-zone."
Cloneable,"A class implements the Cloneable interface to
 indicate to the Object.clone() method that it
 is legal for that method to make a
 field-for-field copy of instances of that class."
CloneNotSupportedException,"Thrown to indicate that the clone method in class
 Object has been called to clone an object, but that
 the object's class does not implement the Cloneable
 interface."
Closeable,A Closeable is a source or destination of data that can be closed.
ClosedByInterruptException,"Checked exception received by a thread when another thread interrupts it
 while it is blocked in an I/O operation upon a channel."
ClosedChannelException,"Checked exception thrown when an attempt is made to invoke or complete an
 I/O operation upon channel that is closed, or at least closed to that
 operation."
ClosedDirectoryStreamException,"Unchecked exception thrown when an attempt is made to invoke an operation on
 a directory stream that is closed."
ClosedFileSystemException,"Unchecked exception thrown when an attempt is made to invoke an operation on
 a file and the file system is closed."
ClosedSelectorException,"Unchecked exception thrown when an attempt is made to invoke an I/O
 operation upon a closed selector."
ClosedWatchServiceException,"Unchecked exception thrown when an attempt is made to invoke an operation on
 a watch service that is closed."
CoderMalfunctionError,"Error thrown when the decodeLoop method of
 a CharsetDecoder, or the encodeLoop method of a CharsetEncoder, throws an unexpected
 exception."
CoderResult,A description of the result state of a coder.
CodeSigner,This class encapsulates information about a code signer.
CodeSource,Legacy security code; do not use.
CodingErrorAction,A typesafe enumeration for coding-error actions.
CollapsibleActionView,"When a View implements this interface it will receive callbacks
 when expanded or collapsed as an action view alongside the optional,
 app-specified callbacks to MenuItem.OnActionExpandListener."
CollationElementIterator,"CollationElementIterator is an iterator created by
 a RuleBasedCollator to walk through a string."
CollationElementIterator,"The CollationElementIterator class is used as an iterator
 to walk through each character of an international string."
CollationKey,"A CollationKey represents a String
 under the rules of a specific Collator
 object."
CollationKey,"A CollationKey represents a String under the
 rules of a specific Collator object."
CollationKey.BoundMode,"Options that used in the API CollationKey.getBound() for getting a
 CollationKey based on the bound mode requested."
Collator,"[icu enhancement] ICU's replacement for Collator. Methods, fields, and other functionality specific to ICU are labeled '[icu]'."
Collator,"The Collator class performs locale-sensitive
 String comparison."
Collator.ReorderCodes,Reordering codes for non-script groups that can be reordered under collation.
Collection<E>,The root interface in the collection hierarchy.
CollectionCertStoreParameters,"Parameters used as input for the Collection CertStore
 algorithm."
Collections,"This class consists exclusively of static methods that operate on or return
 collections."
"Collector<T, A, R>","A mutable reduction operation that
 accumulates input elements into a mutable result container, optionally transforming
 the accumulated result into a final representation after all input elements
 have been processed."
Collector.Characteristics,"Characteristics indicating properties of a Collector, which can
 be used to optimize reduction implementations."
Collectors,"Implementations of Collector that implement various useful reduction
 operations, such as accumulating elements into collections, summarizing
 elements according to various criteria, etc."
Color,"The Color class provides methods for creating, converting and
 manipulating colors."
ColorDrawable,A specialized Drawable that fills the Canvas with a specified color.
ColorFilter,"A color filter can be used with a Paint to modify the color of
 each pixel drawn with that paint."
ColorMatrix,4x5 matrix for transforming the color and alpha components of a Bitmap.
ColorMatrixColorFilter,A color filter that transforms colors through a 4x5 color matrix.
ColorSpace,A ColorSpace is used to identify a specific organization of colors.
ColorSpace.Adaptation,"List of adaptation matrices that can be used for chromatic adaptation
 using the von Kries transform."
ColorSpace.Connector,"A connector transforms colors from a source color space to a destination
 color space."
ColorSpace.Model,"A color model is required by a ColorSpace to describe the
 way colors can be represented as tuples of numbers."
ColorSpace.Named,"List of common, named color spaces."
ColorSpace.RenderIntent,"A render intent determines how a connector
 maps colors from one color space to another."
ColorSpace.Rgb,"An RGB color space is an additive color space using the
 RGB color model (a color is therefore represented
 by a tuple of 3 numbers)."
ColorSpace.Rgb.TransferParameters,"Defines the parameters for the ICC parametric curve type 4, as
 defined in ICC.1:2004-10, section 10.15."
ColorSpaceTransform,Immutable class for describing a 3x3 matrix of Rational values in row-major order.
ColorStateList,Lets you map View state sets to colors.
Comment,"This interface inherits from CharacterData and represents the
 content of a comment, i.e., all the characters between the starting '
 <!--' and ending '-->'."
CommonDataSource,"Interface that defines the methods which are common between DataSource,
 XADataSource and ConnectionPoolDataSource."
CompactDecimalFormat,"The CompactDecimalFormat produces abbreviated numbers, suitable for display in environments will
 limited real estate."
CompactDecimalFormat.CompactStyle,Style parameter for CompactDecimalFormat.
CompanionDeviceManager,"System level service for managing companion devices
 To obtain an instance call Context.getSystemService(Class)(Context.COMPANION_DEVICE_SERVICE) Then, call associate(AssociationRequest, Callback, Handler) to initiate the flow of associating current package with a
 device selected by user."
CompanionDeviceManager.Callback,"A callback to receive once at least one suitable device is found, or the search failed
 (e.g."
Comparable<T>,"This interface imposes a total ordering on the objects of each class that
 implements it."
Comparator<T>,"A comparison function, which imposes a total ordering on some
 collection of objects."
ComparisonFailure,"This class was deprecated
      in API level 16.
    use org.junit.ComparisonFailure"
ComparisonFailure,Thrown when an assert equals for Strings failed.
Compiler,Does nothing on Android.
CompletableFuture<T>,"A Future that may be explicitly completed (setting its
 value and status), and may be used as a CompletionStage,
 supporting dependent functions and actions that trigger upon its
 completion."
CompletableFuture.AsynchronousCompletionTask,"A marker interface identifying asynchronous tasks produced by
 async methods."
CompletionException,"Exception thrown when an error or other exception is encountered
 in the course of completing a result or task."
"CompletionHandler<V, A>",A handler for consuming the result of an asynchronous I/O operation.
CompletionInfo,"Information about a single text completion that an editor has reported to
 an input method."
CompletionService<V>,"A service that decouples the production of new asynchronous tasks
 from the consumption of the results of completed tasks."
CompletionStage<T>,"A stage of a possibly asynchronous computation, that performs an
 action or computes a value when another CompletionStage completes."
ComponentCallbacks,"The set of callback APIs that are common to all application components
 (Activity, Service,
 ContentProvider, and Application)."
ComponentCallbacks2,"Extended ComponentCallbacks interface with a new callback for
 finer-grained memory management."
ComponentInfo,"Base class containing information common to all application components
 (ActivityInfo, ServiceInfo)."
ComponentName,"Identifier for a specific application component
 (Activity, Service,
 BroadcastReceiver, or
 ContentProvider) that is available."
ComposePathEffect,
ComposeShader,"A subclass of shader that returns the composition of two other shaders, combined by
    an Xfermode subclass."
CompoundButton,"A button with two states, checked and unchecked."
CompoundButton.OnCheckedChangeListener,"Interface definition for a callback to be invoked when the checked state
 of a compound button changed."
"ConcurrentHashMap<K, V>","A hash table supporting full concurrency of retrievals and
 high expected concurrency for updates."
"ConcurrentHashMap.KeySetView<K, V>","A view of a ConcurrentHashMap as a Set of keys, in
 which additions may optionally be enabled by mapping to a
 common value."
ConcurrentLinkedDeque<E>,An unbounded concurrent deque based on linked nodes.
ConcurrentLinkedQueue<E>,An unbounded thread-safe queue based on linked nodes.
"ConcurrentMap<K, V>","A Map providing thread safety and atomicity
 guarantees."
ConcurrentModificationException,"This exception may be thrown by methods that have detected concurrent
 modification of an object when such modification is not permissible."
"ConcurrentNavigableMap<K, V>","A ConcurrentMap supporting NavigableMap operations,
 and recursively so for its navigable sub-maps."
"ConcurrentSkipListMap<K, V>",A scalable concurrent ConcurrentNavigableMap implementation.
ConcurrentSkipListSet<E>,"A scalable concurrent NavigableSet implementation based on
 a ConcurrentSkipListMap."
Condition,"The current condition of an AutomaticZenRule, provided by the
 ConditionProviderService that owns the rule."
Condition,"Condition factors out the Object monitor
 methods (wait, notify
 and notifyAll) into distinct objects to
 give the effect of having multiple wait-sets per object, by
 combining them with the use of arbitrary Lock implementations."
